# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
4.901            	(-4.0103472413e-02 -2.0377804686e-02 3.6734967197e-01)	(-4.2053391898e-02 -2.2400400412e-02 3.6629383166e-01)	(1.9499194843e-03 2.0225957254e-03 1.0558403062e-03)
4.902            	(-4.0164917386e-02 -1.9971468776e-02 3.6695355182e-01)	(-4.2114647526e-02 -2.1995812153e-02 3.6590048794e-01)	(1.9497301396e-03 2.0243433762e-03 1.0530638867e-03)
4.903            	(-4.0166256406e-02 -1.9615235752e-02 3.6712937102e-01)	(-4.2115902655e-02 -2.1641282800e-02 3.6607909414e-01)	(1.9496462481e-03 2.0260470476e-03 1.0502768805e-03)
4.904            	(-4.0290932021e-02 -1.9197259801e-02 3.6711282900e-01)	(-4.2240081440e-02 -2.1225114826e-02 3.6606540545e-01)	(1.9491494193e-03 2.0278550247e-03 1.0474235518e-03)
4.905            	(-4.0669688140e-02 -1.8734786575e-02 3.6608162825e-01)	(-4.2617285908e-02 -2.0764255702e-02 3.6503719830e-01)	(1.9475977675e-03 2.0294691267e-03 1.0444299545e-03)
4.906            	(-4.0123926230e-02 -1.8505428451e-02 3.6782476212e-01)	(-4.2071617833e-02 -2.0536742031e-02 3.6678312063e-01)	(1.9476916029e-03 2.0313135801e-03 1.0416414908e-03)
4.907            	(-4.0227467981e-02 -1.8081531277e-02 3.6753284095e-01)	(-4.2175001810e-02 -2.0114692378e-02 3.6649401800e-01)	(1.9475338287e-03 2.0331611012e-03 1.0388229466e-03)
4.908            	(-4.0289126706e-02 -1.7737122480e-02 3.6797056611e-01)	(-4.2236317361e-02 -1.9772106328e-02 3.6693458742e-01)	(1.9471906553e-03 2.0349838479e-03 1.0359786905e-03)
4.909            	(-4.0341512217e-02 -1.7364425335e-02 3.6829964106e-01)	(-4.2288251488e-02 -1.9401251785e-02 3.6726644568e-01)	(1.9467392704e-03 2.0368264503e-03 1.0331953813e-03)
4.91             	(-4.0694338840e-02 -1.6923664931e-02 3.6597176717e-01)	(-4.2639567487e-02 -1.8961801240e-02 3.6494177410e-01)	(1.9452286470e-03 2.0381363094e-03 1.0299930655e-03)
4.911            	(-4.0997270284e-02 -1.5618347018e-02 3.5615030211e-01)	(-4.2939759487e-02 -1.7658057530e-02 3.5512456002e-01)	(1.9424892030e-03 2.0397105118e-03 1.0257420960e-03)
4.912            	(-4.0496010425e-02 -1.6462426129e-02 3.7276934483e-01)	(-4.2437841956e-02 -1.8504224926e-02 3.7174577993e-01)	(1.9418315318e-03 2.0417987969e-03 1.0235649015e-03)
4.913            	(-4.0410612368e-02 -1.5992347277e-02 3.7098768502e-01)	(-4.2352057276e-02 -1.8036072773e-02 3.6996657377e-01)	(1.9414449072e-03 2.0437254965e-03 1.0211112492e-03)
4.914            	(-4.0423739670e-02 -1.5601265440e-02 3.7069283139e-01)	(-4.2364724717e-02 -1.7646810543e-02 3.6967440252e-01)	(1.9409850469e-03 2.0455451036e-03 1.0184288713e-03)
4.915            	(-4.0892115784e-02 -1.5290674086e-02 3.6799976415e-01)	(-4.2831574153e-02 -1.7336623089e-02 3.6698446430e-01)	(1.9394583689e-03 2.0459490034e-03 1.0152998454e-03)
4.916            	(-4.0215146787e-02 -1.4876471857e-02 3.7186866036e-01)	(-4.2154709138e-02 -1.6924583846e-02 3.7085598035e-01)	(1.9395623505e-03 2.0481119885e-03 1.0126800101e-03)
4.917            	(-4.0316572071e-02 -1.4491193050e-02 3.7106702982e-01)	(-4.2256149195e-02 -1.6541081878e-02 3.7005709868e-01)	(1.9395771238e-03 2.0498888285e-03 1.0099311416e-03)
4.918            	(-4.0485001319e-02 -1.4101035830e-02 3.7075390468e-01)	(-4.2423978662e-02 -1.6152502831e-02 3.6974694619e-01)	(1.9389773429e-03 2.0514670008e-03 1.0069584944e-03)
4.919            	(-4.0512774012e-02 -1.3750524065e-02 3.7092357284e-01)	(-4.2451260270e-02 -1.5803453899e-02 3.6991955300e-01)	(1.9384862577e-03 2.0529298336e-03 1.0040198429e-03)
4.92             	(-4.0523010477e-02 -1.3342496466e-02 3.7059079663e-01)	(-4.2460929525e-02 -1.5396825869e-02 3.6958990023e-01)	(1.9379190475e-03 2.0543294030e-03 1.0008964023e-03)
4.921            	(-4.0622845955e-02 -1.3019999094e-02 3.7099363622e-01)	(-4.2560042955e-02 -1.5075584944e-02 3.6999579000e-01)	(1.9371970003e-03 2.0555858495e-03 9.9784621861e-04)
4.922            	(-4.0722767985e-02 -1.2579359399e-02 3.7043314646e-01)	(-4.2658891685e-02 -1.4636157043e-02 3.6943853837e-01)	(1.9361236996e-03 2.0567976439e-03 9.9460809086e-04)
4.923            	(-4.0672898054e-02 -1.2224660772e-02 3.7085117320e-01)	(-4.2608210806e-02 -1.4282684530e-02 3.6985968477e-01)	(1.9353127526e-03 2.0580237577e-03 9.9148842359e-04)
4.924            	(-4.0702039092e-02 -1.1846042425e-02 3.7104780591e-01)	(-4.2636433623e-02 -1.3905309266e-02 3.7005952724e-01)	(1.9343945315e-03 2.0592668409e-03 9.8827867115e-04)
4.925            	(-4.0793840976e-02 -1.1483077455e-02 3.7132438366e-01)	(-4.2727226796e-02 -1.3543539350e-02 3.7033923063e-01)	(1.9333858201e-03 2.0604618955e-03 9.8515302846e-04)
4.926            	(-4.0862278265e-02 -1.1061562840e-02 3.7093238498e-01)	(-4.2794321088e-02 -1.3123206978e-02 3.6995052632e-01)	(1.9320428236e-03 2.0616441381e-03 9.8185865865e-04)
