# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.801            	(1.8523305154e-02 -5.9109690184e-02 -2.8642201875e-01)	(1.6811363985e-02 -6.0358818639e-02 -2.8504217750e-01)	(1.7119411691e-03 1.2491284552e-03 -1.3798412460e-03)
1.802            	(1.8568410077e-02 -5.8953759969e-02 -2.8701546554e-01)	(1.6857318844e-02 -6.0208628205e-02 -2.8563496594e-01)	(1.7110912327e-03 1.2548682359e-03 -1.3804995944e-03)
1.803            	(1.8440884955e-02 -5.8858085485e-02 -2.8772702877e-01)	(1.6731177392e-02 -6.0118529727e-02 -2.8634588544e-01)	(1.7097075623e-03 1.2604442417e-03 -1.3811433232e-03)
1.804            	(1.8200952144e-02 -5.8683570210e-02 -2.8791604168e-01)	(1.6493321533e-02 -5.9949195165e-02 -2.8653443329e-01)	(1.7076306115e-03 1.2656249548e-03 -1.3816083946e-03)
1.805            	(1.8414965053e-02 -5.8395279187e-02 -2.8817233048e-01)	(1.6708786613e-02 -5.9666473603e-02 -2.8679021968e-01)	(1.7061784401e-03 1.2711944158e-03 -1.3821107948e-03)
1.806            	(1.8553431747e-02 -5.8279537158e-02 -2.8883224871e-01)	(1.6848286444e-02 -5.9556294838e-02 -2.8744970659e-01)	(1.7051453035e-03 1.2767576803e-03 -1.3825421232e-03)
1.807            	(1.8533826219e-02 -5.8104550987e-02 -2.8946730433e-01)	(1.6829962790e-02 -5.9387001767e-02 -2.8808429806e-01)	(1.7038634291e-03 1.2824507791e-03 -1.3830062698e-03)
1.808            	(1.8678259935e-02 -5.7982828809e-02 -2.9033548767e-01)	(1.6975272762e-02 -5.9271058033e-02 -2.8895206431e-01)	(1.7029871732e-03 1.2882292241e-03 -1.3834233580e-03)
1.809            	(1.7160013979e-02 -5.6431501532e-02 -2.8329398297e-01)	(1.5461798141e-02 -5.7724777331e-02 -2.8191085322e-01)	(1.6982158386e-03 1.2932757989e-03 -1.3831297566e-03)
1.81             	(1.7653478887e-02 -5.6464905017e-02 -2.8454953934e-01)	(1.5958270607e-02 -5.7763407261e-02 -2.8316654055e-01)	(1.6952082807e-03 1.2985022442e-03 -1.3829987846e-03)
1.811            	(1.8888423492e-02 -5.7618245920e-02 -2.9257775623e-01)	(1.7193542940e-02 -5.8922439486e-02 -2.9119425041e-01)	(1.6948805522e-03 1.3041935659e-03 -1.3835058143e-03)
1.812            	(1.8821609272e-02 -5.7347302296e-02 -2.9275250649e-01)	(1.7127219936e-02 -5.8657290596e-02 -2.9136858003e-01)	(1.6943893364e-03 1.3099883005e-03 -1.3839264606e-03)
1.813            	(1.8016809619e-02 -5.6377018562e-02 -2.8923048336e-01)	(1.6324966384e-02 -5.7692711345e-02 -2.8784654110e-01)	(1.6918432348e-03 1.3156927835e-03 -1.3839422529e-03)
