# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.428            	(1.7815090426e-02 -8.0746953098e-03 -9.3490674455e-03)	(1.7578871299e-02 -8.4832302657e-03 -8.2190498321e-03)	(2.3621912769e-04 4.0853495595e-04 -1.1300176134e-03)
0.429            	(1.8350006798e-02 -8.0390863644e-03 -9.3263404380e-03)	(1.8111978654e-02 -8.4487852219e-03 -8.1947628007e-03)	(2.3802814394e-04 4.0969885751e-04 -1.1315776373e-03)
0.43             	(1.8825849693e-02 -8.0027875008e-03 -9.2887659080e-03)	(1.8586026298e-02 -8.4136432583e-03 -8.1556387243e-03)	(2.3982339500e-04 4.1085575752e-04 -1.1331271837e-03)
0.431            	(1.9149143423e-02 -7.9581548899e-03 -9.2840815024e-03)	(1.8907550426e-02 -8.3701932438e-03 -8.1493270838e-03)	(2.4159299708e-04 4.1203835399e-04 -1.1347544186e-03)
0.432            	(1.9441038145e-02 -7.9258377546e-03 -9.2108592331e-03)	(1.9197701226e-02 -8.3389937921e-03 -8.0746339433e-03)	(2.4333691931e-04 4.1315603748e-04 -1.1362252898e-03)
0.433            	(2.0052331919e-02 -7.8821855228e-03 -9.2401335817e-03)	(1.9807239676e-02 -8.2965311348e-03 -8.1022469570e-03)	(2.4509224297e-04 4.1434561203e-04 -1.1378866247e-03)
0.434            	(2.0460192646e-02 -7.8978163100e-03 -9.0723778367e-03)	(2.0213333866e-02 -8.3131746209e-03 -7.9332562753e-03)	(2.4685878011e-04 4.1535831091e-04 -1.1391215614e-03)
0.435            	(2.0940784063e-02 -7.8456753131e-03 -9.0832098939e-03)	(2.0692174505e-02 -8.2621096602e-03 -7.9426940914e-03)	(2.4860955789e-04 4.1643434704e-04 -1.1405158026e-03)
0.436            	(2.1416299751e-02 -7.8152476811e-03 -9.0460724150e-03)	(2.1165943273e-02 -8.2327502134e-03 -7.9041714408e-03)	(2.5035647834e-04 4.1750253232e-04 -1.1419009742e-03)
0.437            	(2.1302602253e-02 -7.7738955101e-03 -8.9143221440e-03)	(2.1050579383e-02 -8.1923510819e-03 -7.7713264649e-03)	(2.5202286977e-04 4.1845557181e-04 -1.1429956791e-03)
0.438            	(2.1785993191e-02 -7.7355238870e-03 -8.8917245466e-03)	(2.1532303568e-02 -8.1549480140e-03 -7.7475832038e-03)	(2.5368962333e-04 4.1942412707e-04 -1.1441413428e-03)
0.439            	(2.2577226757e-02 -7.7079695505e-03 -8.8784598272e-03)	(2.2321825777e-02 -8.1283953134e-03 -7.7330823755e-03)	(2.5540098015e-04 4.2042576292e-04 -1.1453774516e-03)
0.44             	(2.3107825088e-02 -7.6644996935e-03 -8.8333273030e-03)	(2.2850717292e-02 -8.0859228537e-03 -7.6867295513e-03)	(2.5710779583e-04 4.2142316018e-04 -1.1465977517e-03)
0.441            	(2.3575845770e-02 -7.6260467868e-03 -8.8197624879e-03)	(2.3317041764e-02 -8.0484908242e-03 -7.6718815633e-03)	(2.5880400587e-04 4.2244403738e-04 -1.1478809247e-03)
0.442            	(2.3145273005e-02 -7.5229864055e-03 -8.8916423859e-03)	(2.2884887958e-02 -7.9465486152e-03 -7.7422332139e-03)	(2.6038504668e-04 4.2356220968e-04 -1.1494091720e-03)
0.443            	(2.4530144801e-02 -7.5706366761e-03 -8.6932707796e-03)	(2.4268083417e-02 -7.9951337726e-03 -7.5427945754e-03)	(2.6206138359e-04 4.2449709650e-04 -1.1504762042e-03)
0.444            	(2.5296495567e-02 -7.5269912000e-03 -8.7160285808e-03)	(2.5032724772e-02 -7.9525081687e-03 -7.5642665883e-03)	(2.6377079498e-04 4.2551696868e-04 -1.1517619925e-03)
0.445            	(2.5659247030e-02 -7.4860785609e-03 -8.6589273376e-03)	(2.5393798789e-02 -7.9125876498e-03 -7.5059513990e-03)	(2.6544824098e-04 4.2650908881e-04 -1.1529759386e-03)
0.446            	(2.6038458528e-02 -7.4444407575e-03 -8.6389961995e-03)	(2.5771373541e-02 -7.8719507885e-03 -7.4847767644e-03)	(2.6708498631e-04 4.2751003099e-04 -1.1542194351e-03)
0.447            	(2.6507565235e-02 -7.4067127959e-03 -8.6011100590e-03)	(2.6238862566e-02 -7.8352156350e-03 -7.4456650967e-03)	(2.6870266844e-04 4.2850283906e-04 -1.1554449623e-03)
0.448            	(2.5403286011e-02 -7.3727831623e-03 -8.7474581237e-03)	(2.5133104324e-02 -7.8023633370e-03 -7.5904779484e-03)	(2.7018168747e-04 4.2958017468e-04 -1.1569801753e-03)
0.449            	(2.7480803617e-02 -7.3480364963e-03 -8.4538597859e-03)	(2.7209042802e-02 -7.7784979480e-03 -7.2959322678e-03)	(2.7176081426e-04 4.3046145173e-04 -1.1579275181e-03)
0.45             	(2.7987765827e-02 -7.3107892559e-03 -8.4442025537e-03)	(2.7714421718e-02 -7.7421662694e-03 -7.2852343788e-03)	(2.7334410891e-04 4.3137701347e-04 -1.1589681749e-03)
0.451            	(2.8438090870e-02 -7.2715187915e-03 -8.4254002236e-03)	(2.8163181017e-02 -7.7038283153e-03 -7.2653437880e-03)	(2.7490985356e-04 4.3230952378e-04 -1.1600564356e-03)
0.452            	(2.8909769427e-02 -7.2416589406e-03 -8.3754689163e-03)	(2.8633314453e-02 -7.6748769354e-03 -7.2143790052e-03)	(2.7645497387e-04 4.3321799481e-04 -1.1610899111e-03)
0.453            	(2.9407443449e-02 -7.2060930604e-03 -8.3432783720e-03)	(2.9129462295e-02 -7.6402178833e-03 -7.1811558071e-03)	(2.7798115355e-04 4.3412482290e-04 -1.1621225649e-03)
0.454            	(2.9869538174e-02 -7.1680848567e-03 -8.3086915691e-03)	(2.9590054356e-02 -7.6031138423e-03 -7.1455383037e-03)	(2.7948381842e-04 4.3502898556e-04 -1.1631532654e-03)
0.455            	(3.0428721260e-02 -7.1386135872e-03 -8.2629712734e-03)	(3.0147741310e-02 -7.5745298627e-03 -7.0988244468e-03)	(2.8097994974e-04 4.3591627550e-04 -1.1641468266e-03)
0.456            	(3.0835872103e-02 -7.1029419243e-03 -8.2144820035e-03)	(3.0553413114e-02 -7.5397279718e-03 -7.0493785456e-03)	(2.8245898883e-04 4.3678604754e-04 -1.1651034579e-03)
0.457            	(3.1324860805e-02 -7.0675768726e-03 -8.1671677519e-03)	(3.1040942217e-02 -7.5052219110e-03 -7.0011315875e-03)	(2.8391858814e-04 4.3764503839e-04 -1.1660361645e-03)
0.458            	(3.1732058616e-02 -7.0323238309e-03 -8.1215595711e-03)	(3.1446700935e-02 -7.4708164468e-03 -6.9546165238e-03)	(2.8535768048e-04 4.3849261592e-04 -1.1669430474e-03)
0.459            	(3.2317211971e-02 -7.0029954753e-03 -8.0909891436e-03)	(3.2030417237e-02 -7.4423392350e-03 -6.9231328613e-03)	(2.8679473379e-04 4.3934375970e-04 -1.1678562823e-03)
0.46             	(3.2694208243e-02 -6.9667520224e-03 -8.0429853776e-03)	(3.2406012017e-02 -7.4069313446e-03 -6.8742568570e-03)	(2.8819622563e-04 4.4017932213e-04 -1.1687285206e-03)
0.461            	(3.2722009220e-02 -6.8912226578e-03 -8.0731922259e-03)	(3.2432475416e-02 -7.3323088009e-03 -6.9034195930e-03)	(2.8953380437e-04 4.4108614313e-04 -1.1697726329e-03)
0.462            	(3.3663530364e-02 -6.9166861511e-03 -7.9289816704e-03)	(3.3372618624e-02 -7.3585493616e-03 -6.7584816977e-03)	(2.9091173947e-04 4.4186321056e-04 -1.1704999727e-03)
0.463            	(3.4112154820e-02 -6.8786440838e-03 -7.8866316666e-03)	(3.3819887722e-02 -7.3212805317e-03 -6.7154154093e-03)	(2.9226709834e-04 4.4263644798e-04 -1.1712162573e-03)
0.464            	(3.4555985167e-02 -6.8474770184e-03 -7.8458212589e-03)	(3.4262400289e-02 -7.2908822898e-03 -6.6738957351e-03)	(2.9358487779e-04 4.4340527141e-04 -1.1719255238e-03)
0.465            	(3.4990744405e-02 -6.8148703688e-03 -7.8143621452e-03)	(3.4695872255e-02 -7.2590513178e-03 -6.6417017429e-03)	(2.9487215083e-04 4.4418094898e-04 -1.1726604024e-03)
0.466            	(3.5479217035e-02 -6.7782301358e-03 -7.7496420451e-03)	(3.5183089843e-02 -7.2231675268e-03 -6.5763033139e-03)	(2.9612719164e-04 4.4493739099e-04 -1.1733387312e-03)
0.467            	(3.5878629306e-02 -6.7444421758e-03 -7.7125953741e-03)	(3.5581286942e-02 -7.1901353258e-03 -6.5385726070e-03)	(2.9734236432e-04 4.4569315004e-04 -1.1740227670e-03)
0.468            	(3.6374843314e-02 -6.7145807228e-03 -7.6703262186e-03)	(3.6076313400e-02 -7.1610235145e-03 -6.4956282651e-03)	(2.9852991336e-04 4.4644279173e-04 -1.1746979534e-03)
0.469            	(3.6805402564e-02 -6.6819961306e-03 -7.6236966517e-03)	(3.6505716343e-02 -7.1291788072e-03 -6.4483426823e-03)	(2.9968622086e-04 4.4718267659e-04 -1.1753539694e-03)
0.47             	(3.7252879949e-02 -6.6510228234e-03 -7.5709844664e-03)	(3.6952074529e-02 -7.0989309814e-03 -6.3950074211e-03)	(3.0080542020e-04 4.4790815798e-04 -1.1759770453e-03)
0.471            	(3.7760758155e-02 -6.6181960080e-03 -7.5198591305e-03)	(3.7458862062e-02 -7.0668240710e-03 -6.3432708600e-03)	(3.0189609215e-04 4.4862806299e-04 -1.1765882706e-03)
0.472            	(3.8123450363e-02 -6.5556468519e-03 -7.4877492426e-03)	(3.7820495635e-02 -7.0050307092e-03 -6.3104654542e-03)	(3.0295472817e-04 4.4938385731e-04 -1.1772837884e-03)
0.473            	(3.8678050399e-02 -6.5529423975e-03 -7.3934114851e-03)	(3.8374081566e-02 -7.0030046837e-03 -6.2156167609e-03)	(3.0396883363e-04 4.5006228615e-04 -1.1777947242e-03)
0.474            	(3.9134019827e-02 -6.5233971565e-03 -7.3253895485e-03)	(3.8829077193e-02 -6.9741109705e-03 -6.1471486957e-03)	(3.0494263380e-04 4.5071381400e-04 -1.1782408528e-03)
0.475            	(3.9543855052e-02 -6.4888996206e-03 -7.3385508562e-03)	(3.9237960488e-02 -6.9403284366e-03 -6.1596896190e-03)	(3.0589456348e-04 4.5142881607e-04 -1.1788612373e-03)
0.476            	(3.9992342731e-02 -6.4631317368e-03 -7.2780936728e-03)	(3.9685550407e-02 -6.9152541906e-03 -6.0986617257e-03)	(3.0679232383e-04 4.5212245380e-04 -1.1794319472e-03)
0.477            	(4.0114893779e-02 -6.4108271881e-03 -7.2906137283e-03)	(3.9807249112e-02 -6.8637064881e-03 -6.1104466638e-03)	(3.0764466635e-04 4.5287930000e-04 -1.1801670645e-03)
0.478            	(4.0813787018e-02 -6.4033090017e-03 -7.1653450366e-03)	(4.0505327231e-02 -6.8568440969e-03 -5.9847060743e-03)	(3.0845978715e-04 4.5353509519e-04 -1.1806389623e-03)
0.479            	(4.1288333449e-02 -6.3717341548e-03 -7.1143729187e-03)	(4.0979096770e-02 -6.8259224336e-03 -5.9332727534e-03)	(3.0923667865e-04 4.5418827886e-04 -1.1811001653e-03)
0.48             	(4.1752624952e-02 -6.3388800233e-03 -7.0630538074e-03)	(4.1442657274e-02 -6.7937194567e-03 -5.8815015627e-03)	(3.0996767823e-04 4.5483943338e-04 -1.1815522446e-03)
0.481            	(4.2203297138e-02 -6.3077975017e-03 -7.0118645126e-03)	(4.1892641281e-02 -6.7632852171e-03 -5.8298710561e-03)	(3.1065585702e-04 4.5548771544e-04 -1.1819934565e-03)
0.482            	(4.2569313995e-02 -6.2748047289e-03 -6.9699117673e-03)	(4.2258025988e-02 -6.7309486271e-03 -5.7874606368e-03)	(3.1128800645e-04 4.5614389812e-04 -1.1824511305e-03)
0.483            	(4.3104208105e-02 -6.2473764317e-03 -6.9100338147e-03)	(4.2792326721e-02 -6.7041638541e-03 -5.7271637750e-03)	(3.1188138359e-04 4.5678742240e-04 -1.1828700397e-03)
0.484            	(4.3670727005e-02 -6.2245487185e-03 -6.8474920165e-03)	(4.3358301296e-02 -6.6819646520e-03 -5.6642464731e-03)	(3.1242570932e-04 4.5741593350e-04 -1.1832455435e-03)
0.485            	(4.4119903858e-02 -6.1897419983e-03 -6.7991218880e-03)	(4.3807005470e-02 -6.6477951394e-03 -5.6154915250e-03)	(3.1289838774e-04 4.5805314106e-04 -1.1836303630e-03)
0.486            	(4.4549637997e-02 -6.1587124149e-03 -6.7411235171e-03)	(4.4236347855e-02 -6.6173963456e-03 -5.5571334009e-03)	(3.1329014217e-04 4.5868393074e-04 -1.1839901163e-03)
0.487            	(4.5022658266e-02 -6.1181757802e-03 -6.7236812870e-03)	(4.4709062286e-02 -6.5775349554e-03 -5.5392308179e-03)	(3.1359598090e-04 4.5935917514e-04 -1.1844504691e-03)
0.488            	(4.5499150422e-02 -6.1088939469e-03 -6.6132879350e-03)	(4.5185321834e-02 -6.5688521179e-03 -5.4285727552e-03)	(3.1382858741e-04 4.5995817097e-04 -1.1847151797e-03)
0.489            	(4.5893903140e-02 -6.0709137849e-03 -6.5797865056e-03)	(4.5579953566e-02 -6.5314971605e-03 -5.3947544104e-03)	(3.1394957480e-04 4.6058337562e-04 -1.1850320952e-03)
0.49             	(4.6358385446e-02 -6.0405081506e-03 -6.5259179705e-03)	(4.6044427333e-02 -6.5017203104e-03 -5.3405764645e-03)	(3.1395811313e-04 4.6121215987e-04 -1.1853415059e-03)
0.491            	(4.6868922558e-02 -6.0097390644e-03 -6.4651890947e-03)	(4.6555084289e-02 -6.4715815273e-03 -5.2795587274e-03)	(3.1383826906e-04 4.6184246296e-04 -1.1856303672e-03)
0.492            	(4.7304215411e-02 -5.9778726326e-03 -6.4090033534e-03)	(4.6990652845e-02 -6.4403542466e-03 -5.2230952707e-03)	(3.1356256592e-04 4.6248161396e-04 -1.1859080826e-03)
0.493            	(4.7785447837e-02 -5.9502903271e-03 -6.3522512324e-03)	(4.7472341671e-02 -6.4134183936e-03 -5.1660855735e-03)	(3.1310616556e-04 4.6312806655e-04 -1.1861656589e-03)
0.494            	(4.8259045083e-02 -5.9238107981e-03 -6.2963179157e-03)	(4.7946605838e-02 -6.3875957786e-03 -5.1099197850e-03)	(3.1243924524e-04 4.6378498046e-04 -1.1863981307e-03)
0.495            	(4.8715093301e-02 -5.8936980460e-03 -6.2392310305e-03)	(4.8403558613e-02 -6.3581556671e-03 -5.0526285798e-03)	(3.1153468862e-04 4.6445762109e-04 -1.1866024507e-03)
0.496            	(4.9338445800e-02 -5.8651941880e-03 -6.1533007397e-03)	(4.9028068685e-02 -6.3303236104e-03 -4.9666000889e-03)	(3.1037711519e-04 4.6512942245e-04 -1.1867006508e-03)
0.497            	(4.9614117984e-02 -5.8368947986e-03 -6.1228207494e-03)	(4.9305250710e-02 -6.3027463271e-03 -4.9359862152e-03)	(3.0886727315e-04 4.6585152853e-04 -1.1868345343e-03)
0.498            	(5.0077038048e-02 -5.8059634119e-03 -6.0654333675e-03)	(4.9770061599e-02 -6.2725752969e-03 -4.8785104397e-03)	(3.0697644922e-04 4.6661188493e-04 -1.1869229278e-03)
0.499            	(5.0539182596e-02 -5.7786484142e-03 -6.0088381515e-03)	(5.0234516577e-02 -6.2460679009e-03 -4.8218930869e-03)	(3.0466601912e-04 4.6741948679e-04 -1.1869450646e-03)
0.5              	(5.0971441002e-02 -5.7487277693e-03 -5.9522583301e-03)	(5.0669503227e-02 -6.2170130368e-03 -4.7653781605e-03)	(3.0193777485e-04 4.6828526745e-04 -1.1868801697e-03)
0.501            	(5.1400483044e-02 -5.7173250818e-03 -5.8924230874e-03)	(5.1101130471e-02 -6.1864803453e-03 -4.7056467268e-03)	(2.9935257258e-04 4.6915526346e-04 -1.1867763605e-03)
0.502            	(5.1820893114e-02 -5.6827091657e-03 -5.8271604238e-03)	(5.1523249816e-02 -6.1526331011e-03 -4.6404185796e-03)	(2.9764329765e-04 4.6992393536e-04 -1.1867418442e-03)
0.503            	(5.2248482861e-02 -5.6519006721e-03 -5.7615508096e-03)	(5.1951105171e-02 -6.1224222280e-03 -4.5747236288e-03)	(2.9737769057e-04 4.7052155591e-04 -1.1868271808e-03)
0.504            	(5.2693670658e-02 -5.6171442229e-03 -5.6951176017e-03)	(5.2395112044e-02 -6.0880992331e-03 -4.5080837876e-03)	(2.9855861410e-04 4.7095501021e-04 -1.1870338141e-03)
0.505            	(5.3152867934e-02 -5.5895158718e-03 -5.6337308257e-03)	(5.2852058207e-02 -6.0608043628e-03 -4.4464310803e-03)	(3.0080972748e-04 4.7128849093e-04 -1.1872997454e-03)
0.506            	(5.3631074886e-02 -5.5619895825e-03 -5.5725609040e-03)	(5.3327317036e-02 -6.0335555175e-03 -4.3849847733e-03)	(3.0375784946e-04 4.7156593502e-04 -1.1875761307e-03)
0.507            	(5.4055521439e-02 -5.5349693859e-03 -5.5134293527e-03)	(5.3748447286e-02 -6.0067853186e-03 -4.3256064931e-03)	(3.0707415268e-04 4.7181593261e-04 -1.1878228596e-03)
0.508            	(5.4445988135e-02 -5.5031326769e-03 -5.4446534775e-03)	(5.4135405796e-02 -5.9751835810e-03 -4.2566318970e-03)	(3.1058233842e-04 4.7205090409e-04 -1.1880215806e-03)
