# Forces
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.0	((0.0 1.0 2.0) (3.0 4.0 5.0) (6.0 7.0 8.0)) ((0.0 1.0 2.0) (3.0 4.0 5.0) (6.0 7.0 8.0))
0.01	((0.313953 1.313952595 2.313952595) (3.313952595 4.313952595 5.313952595) (6.313952595 7.313952595 8.313952595)) ((0.313953 1.313952595 2.313952595) (3.313952595 4.313952595 5.313952595) (6.313952595 7.313952595 8.313952595))
0.02	((0.626666 1.62666618824 2.62666618824) (3.62666618824 4.62666618824 5.62666618824) (6.62666618824 7.62666618824 8.62666618824)) ((0.626666 1.62666618824 2.62666618824) (3.62666618824 4.62666618824 5.62666618824) (6.62666618824 7.62666618824 8.62666618824))
0.03	((0.936907 1.93690657616 2.93690657616) (3.93690657616 4.93690657616 5.93690657616) (6.93690657616 7.93690657616 8.93690657616)) ((0.936907 1.93690657616 2.93690657616) (3.93690657616 4.93690657616 5.93690657616) (6.93690657616 7.93690657616 8.93690657616))
0.04	((1.24345 2.24344956875 3.24344956875) (4.24344956875 5.24344956875 6.24344956875) (7.24344956875 8.24344956875 9.24344956875)) ((1.24345 2.24344956875 3.24344956875) (4.24344956875 5.24344956875 6.24344956875) (7.24344956875 8.24344956875 9.24344956875))
0.05	((1.54508 2.54508495331 3.54508495331) (4.54508495331 5.54508495331 6.54508495331) (7.54508495331 8.54508495331 9.54508495331)) ((1.54508 2.54508495331 3.54508495331) (4.54508495331 5.54508495331 6.54508495331) (7.54508495331 8.54508495331 9.54508495331))
0.06	((1.84062 2.8406226635 3.8406226635) (4.8406226635 5.8406226635 6.8406226635) (7.8406226635 8.8406226635 9.8406226635)) ((1.84062 2.8406226635 3.8406226635) (4.8406226635 5.8406226635 6.8406226635) (7.8406226635 8.8406226635 9.8406226635))
0.07	((2.1289 3.12889647484 4.12889647484) (5.12889647484 6.12889647484 7.12889647484) (8.12889647484 9.12889647484 10.1288964748)) ((2.1289 3.12889647484 4.12889647484) (5.12889647484 6.12889647484 7.12889647484) (8.12889647484 9.12889647484 10.1288964748))
0.08	((2.40877 3.40876865387 4.40876865387) (5.40876865387 6.40876865387 7.40876865387) (8.40876865387 9.40876865387 10.4087686539)) ((2.40877 3.40876865387 4.40876865387) (5.40876865387 6.40876865387 7.40876865387) (8.40876865387 9.40876865387 10.4087686539))
0.09	((2.67913 3.6791343689 4.6791343689) (5.6791343689 6.6791343689 7.6791343689) (8.6791343689 9.6791343689 10.6791343689)) ((2.67913 3.6791343689 4.6791343689) (5.6791343689 6.6791343689 7.6791343689) (8.6791343689 9.6791343689 10.6791343689))
0.1	((2.93893 3.93892621994 4.93892621994) (5.93892621994 6.93892621994 7.93892621994) (8.93892621994 9.93892621994 10.9389262199)) ((2.93893 3.93892621994 4.93892621994) (5.93892621994 6.93892621994 7.93892621994) (8.93892621994 9.93892621994 10.9389262199))
0.11	((3.18712 4.1871201992 5.1871201992) (6.1871201992 7.1871201992 8.1871201992) (9.1871201992 10.1871201992 11.1871201992)) ((3.18712 4.1871201992 5.1871201992) (6.1871201992 7.1871201992 8.1871201992) (9.1871201992 10.1871201992 11.1871201992))
0.12	((3.42274 4.42273569107 5.42273569107) (6.42273569107 7.42273569107 8.42273569107) (9.42273569107 10.4227356911 11.4227356911)) ((3.42274 4.42273569107 5.42273569107) (6.42273569107 7.42273569107 8.42273569107) (9.42273569107 10.4227356911 11.4227356911))
0.13	((3.64484 4.6448431015 5.6448431015) (6.6448431015 7.6448431015 8.6448431015) (9.6448431015 10.6448431015 11.6448431015)) ((3.64484 4.6448431015 5.6448431015) (6.6448431015 7.6448431015 8.6448431015) (9.6448431015 10.6448431015 11.6448431015))
0.14	((3.85257 4.85256624222 5.85256624222) (6.85256624222 7.85256624222 8.85256624222) (9.85256624222 10.8525662422 11.8525662422)) ((3.85257 4.85256624222 5.85256624222) (6.85256624222 7.85256624222 8.85256624222) (9.85256624222 10.8525662422 11.8525662422))
0.15	((4.04509 5.04508543015 6.04508543015) (7.04508543015 8.04508543015 9.04508543015) (10.0450854301 11.0450854301 12.0450854301)) ((4.04509 5.04508543015 6.04508543015) (7.04508543015 8.04508543015 9.04508543015) (10.0450854301 11.0450854301 12.0450854301))
0.16	((4.22164 5.22163963318 6.22163963318) (7.22163963318 8.22163963318 9.22163963318) (10.2216396332 11.2216396332 12.2216396332)) ((4.22164 5.22163963318 6.22163963318) (7.22163963318 8.22163963318 9.22163963318) (10.2216396332 11.2216396332 12.2216396332))
0.17	((4.38153 5.38153362274 6.38153362274) (7.38153362274 8.38153362274 9.38153362274) (10.3815336227 11.3815336227 12.3815336227)) ((4.38153 5.38153362274 6.38153362274) (7.38153362274 8.38153362274 9.38153362274) (10.3815336227 11.3815336227 12.3815336227))
0.18	((4.52414 5.5241355896 6.5241355896) (7.5241355896 8.5241355896 9.5241355896) (10.5241355896 11.5241355896 12.5241355896)) ((4.52414 5.5241355896 6.5241355896) (7.5241355896 8.5241355896 9.5241355896) (10.5241355896 11.5241355896 12.5241355896))
0.19	((4.64888 5.64888238907 6.64888238907) (7.64888238907 8.64888238907 9.64888238907) (10.6488823891 11.6488823891 12.6488823891)) ((4.64888 5.64888238907 6.64888238907) (7.64888238907 8.64888238907 9.64888238907) (10.6488823891 11.6488823891 12.6488823891))
0.2	((4.75528 5.75528287888 6.75528287888) (7.75528287888 8.75528287888 9.75528287888) (10.7552828789 11.7552828789 12.7552828789)) ((4.75528 5.75528287888 6.75528287888) (7.75528287888 8.75528287888 9.75528287888) (10.7552828789 11.7552828789 12.7552828789))
0.21	((4.84292 5.84291601181 6.84291601181) (7.84291601181 8.84291601181 9.84291601181) (10.8429160118 11.8429160118 12.8429160118)) ((4.84292 5.84291601181 6.84291601181) (7.84291601181 8.84291601181 9.84291601181) (10.8429160118 11.8429160118 12.8429160118))
0.22	((4.91144 5.91143655777 6.91143655777) (7.91143655777 8.91143655777 9.91143655777) (10.9114365578 11.9114365578 12.9114365578)) ((4.91144 5.91143655777 6.91143655777) (7.91143655777 8.91143655777 9.91143655777) (10.9114365578 11.9114365578 12.9114365578))
0.23	((4.96057 5.96057367325 6.96057367325) (7.96057367325 8.96057367325 9.96057367325) (10.9605736732 11.9605736732 12.9605736732)) ((4.96057 5.96057367325 6.96057367325) (7.96057367325 8.96057367325 9.96057367325) (10.9605736732 11.9605736732 12.9605736732))
0.24	((4.99013 5.99013376236 6.99013376236) (7.99013376236 8.99013376236 9.99013376236) (10.9901337624 11.9901337624 12.9901337624)) ((4.99013 5.99013376236 6.99013376236) (7.99013376236 8.99013376236 9.99013376236) (10.9901337624 11.9901337624 12.9901337624))
0.25	((5.0 6.0 7.0) (8.0 9.0 10.0) (11.0 12.0 13.0)) ((5.0 6.0 7.0) (8.0 9.0 10.0) (11.0 12.0 13.0))
0.26	((4.99013 5.99013376236 6.99013376236) (7.99013376236 8.99013376236 9.99013376236) (10.9901337624 11.9901337624 12.9901337624)) ((4.99013 5.99013376236 6.99013376236) (7.99013376236 8.99013376236 9.99013376236) (10.9901337624 11.9901337624 12.9901337624))
0.27	((4.96057 5.96057319641 6.96057319641) (7.96057319641 8.96057319641 9.96057319641) (10.9605731964 11.9605731964 12.9605731964)) ((4.96057 5.96057319641 6.96057319641) (7.96057319641 8.96057319641 9.96057319641) (10.9605731964 11.9605731964 12.9605731964))
0.28	((4.91144 5.91143608093 6.91143608093) (7.91143608093 8.91143608093 9.91143608093) (10.9114360809 11.9114360809 12.9114360809)) ((4.91144 5.91143608093 6.91143608093) (7.91143608093 8.91143608093 9.91143608093) (10.9114360809 11.9114360809 12.9114360809))
0.29	((4.84292 5.84291601181 6.84291601181) (7.84291601181 8.84291601181 9.84291601181) (10.8429160118 11.8429160118 12.8429160118)) ((4.84292 5.84291601181 6.84291601181) (7.84291601181 8.84291601181 9.84291601181) (10.8429160118 11.8429160118 12.8429160118))
0.3	((4.75528 5.75528240204 6.75528240204) (7.75528240204 8.75528240204 9.75528240204) (10.755282402 11.755282402 12.755282402)) ((4.75528 5.75528240204 6.75528240204) (7.75528240204 8.75528240204 9.75528240204) (10.755282402 11.755282402 12.755282402))
0.31	((4.64888 5.64888191223 6.64888191223) (7.64888191223 8.64888191223 9.64888191223) (10.6488819122 11.6488819122 12.6488819122)) ((4.64888 5.64888191223 6.64888191223) (7.64888191223 8.64888191223 9.64888191223) (10.6488819122 11.6488819122 12.6488819122))
0.32	((4.52414 5.52413511276 6.52413511276) (7.52413511276 8.52413511276 9.52413511276) (10.5241351128 11.5241351128 12.5241351128)) ((4.52414 5.52413511276 6.52413511276) (7.52413511276 8.52413511276 9.52413511276) (10.5241351128 11.5241351128 12.5241351128))
0.33	((4.38153 5.3815331459 6.3815331459) (7.3815331459 8.3815331459 9.3815331459) (10.3815331459 11.3815331459 12.3815331459)) ((4.38153 5.3815331459 6.3815331459) (7.3815331459 8.3815331459 9.3815331459) (10.3815331459 11.3815331459 12.3815331459))
0.34	((4.22164 5.22163915634 6.22163915634) (7.22163915634 8.22163915634 9.22163915634) (10.2216391563 11.2216391563 12.2216391563)) ((4.22164 5.22163915634 6.22163915634) (7.22163915634 8.22163915634 9.22163915634) (10.2216391563 11.2216391563 12.2216391563))
0.35	((4.04508 5.04508495331 6.04508495331) (7.04508495331 8.04508495331 9.04508495331) (10.0450849533 11.0450849533 12.0450849533)) ((4.04508 5.04508495331 6.04508495331) (7.04508495331 8.04508495331 9.04508495331) (10.0450849533 11.0450849533 12.0450849533))
