# Forces
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.0	((-0.705091254114 0.294908745886 1.29490874589) (2.29490874589 3.29490874589 4.29490874589) (5.29490874589 6.29490874589 7.29490874589)) ((-0.705091254114 0.294908745886 1.29490874589) (2.29490874589 3.29490874589 4.29490874589) (5.29490874589 6.29490874589 7.29490874589))
0.01	((-0.838070078168 0.161929921832 1.16192992183) (2.16192992183 3.16192992183 4.16192992183) (5.16192992183 6.16192992183 7.16192992183)) ((-0.838070078168 0.161929921832 1.16192992183) (2.16192992183 3.16192992183 4.16192992183) (5.16192992183 6.16192992183 7.16192992183))
0.02	((0.924954982572 1.92495498257 2.92495498257) (3.92495498257 4.92495498257 5.92495498257) (6.92495498257 7.92495498257 8.92495498257)) ((0.924954982572 1.92495498257 2.92495498257) (3.92495498257 4.92495498257 5.92495498257) (6.92495498257 7.92495498257 8.92495498257))
0.03	((0.74008723436 1.74008723436 2.74008723436) (3.74008723436 4.74008723436 5.74008723436) (6.74008723436 7.74008723436 8.74008723436)) ((0.74008723436 1.74008723436 2.74008723436) (3.74008723436 4.74008723436 5.74008723436) (6.74008723436 7.74008723436 8.74008723436))
0.04	((1.02922733227 2.02922733227 3.02922733227) (4.02922733227 5.02922733227 6.02922733227) (7.02922733227 8.02922733227 9.02922733227)) ((1.02922733227 2.02922733227 3.02922733227) (4.02922733227 5.02922733227 6.02922733227) (7.02922733227 8.02922733227 9.02922733227))
0.05	((2.23924527157 3.23924527157 4.23924527157) (5.23924527157 6.23924527157 7.23924527157) (8.23924527157 9.23924527157 10.2392452716)) ((2.23924527157 3.23924527157 4.23924527157) (5.23924527157 6.23924527157 7.23924527157) (8.23924527157 9.23924527157 10.2392452716))
0.06	((2.19131709086 3.19131709086 4.19131709086) (5.19131709086 6.19131709086 7.19131709086) (8.19131709086 9.19131709086 10.1913170909)) ((2.19131709086 3.19131709086 4.19131709086) (5.19131709086 6.19131709086 7.19131709086) (8.19131709086 9.19131709086 10.1913170909))
0.07	((2.17210616654 3.17210616654 4.17210616654) (5.17210616654 6.17210616654 7.17210616654) (8.17210616654 9.17210616654 10.1721061665)) ((2.17210616654 3.17210616654 4.17210616654) (5.17210616654 6.17210616654 7.17210616654) (8.17210616654 9.17210616654 10.1721061665))
0.08	((2.19788682924 3.19788682924 4.19788682924) (5.19788682924 6.19788682924 7.19788682924) (8.19788682924 9.19788682924 10.1978868292)) ((2.19788682924 3.19788682924 4.19788682924) (5.19788682924 6.19788682924 7.19788682924) (8.19788682924 9.19788682924 10.1978868292))
0.09	((2.40493751427 3.40493751427 4.40493751427) (5.40493751427 6.40493751427 7.40493751427) (8.40493751427 9.40493751427 10.4049375143)) ((2.40493751427 3.40493751427 4.40493751427) (5.40493751427 6.40493751427 7.40493751427) (8.40493751427 9.40493751427 10.4049375143))
0.1	((2.45272717333 3.45272717333 4.45272717333) (5.45272717333 6.45272717333 7.45272717333) (8.45272717333 9.45272717333 10.4527271733)) ((2.45272717333 3.45272717333 4.45272717333) (5.45272717333 6.45272717333 7.45272717333) (8.45272717333 9.45272717333 10.4527271733))
0.11	((3.86710896118 4.86710896118 5.86710896118) (6.86710896118 7.86710896118 8.86710896118) (9.86710896118 10.8671089612 11.8671089612)) ((3.86710896118 4.86710896118 5.86710896118) (6.86710896118 7.86710896118 8.86710896118) (9.86710896118 10.8671089612 11.8671089612))
