# Forces
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.0	((0.0 0.0 0.0) (0.0 0.0 0.0) (0.0 0.0 0.0)) ((-0.0 -0.0 -0.0) (-0.0 -0.0 -0.0) (-0.0 -0.0 -0.0))
0.01	((0.0313952594995 0.0627905189991 0.0941857784986) (0.125581037998 0.156976297498 0.188371556997) (0.219766816497 0.251162075996 0.282557335496)) ((-0.0313952594995 -0.0627905189991 -0.0941857784986) (-0.125581037998 -0.156976297498 -0.188371556997) (-0.219766816497 -0.251162075996 -0.282557335496))
0.02	((0.062666618824 0.125333237648 0.187999856472) (0.250666475296 0.31333309412 0.375999712944) (0.438666331768 0.501332950592 0.563999569416)) ((-0.062666618824 -0.125333237648 -0.187999856472) (-0.250666475296 -0.31333309412 -0.375999712944) (-0.438666331768 -0.501332950592 -0.563999569416))
0.03	((0.0936906576157 0.187381315231 0.281071972847) (0.374762630463 0.468453288078 0.562143945694) (0.65583460331 0.749525260925 0.843215918541)) ((-0.0936906576157 -0.187381315231 -0.281071972847) (-0.374762630463 -0.468453288078 -0.562143945694) (-0.65583460331 -0.749525260925 -0.843215918541))
0.04	((0.124344956875 0.24868991375 0.373034870625) (0.497379827499 0.621724784374 0.746069741249) (0.870414698124 0.994759654999 1.11910461187)) ((-0.124344956875 -0.24868991375 -0.373034870625) (-0.497379827499 -0.621724784374 -0.746069741249) (-0.870414698124 -0.994759654999 -1.11910461187))
0.05	((0.154508495331 0.309016990662 0.463525485992) (0.618033981323 0.772542476654 0.927050971985) (1.08155946732 1.23606796265 1.39057645798)) ((-0.154508495331 -0.309016990662 -0.463525485992) (-0.618033981323 -0.772542476654 -0.927050971985) (-1.08155946732 -1.23606796265 -1.39057645798))
0.06	((0.18406226635 0.3681245327 0.552186799049) (0.736249065399 0.920311331749 1.1043735981) (1.28843586445 1.4724981308 1.65656039715)) ((-0.18406226635 -0.3681245327 -0.552186799049) (-0.736249065399 -0.920311331749 -1.1043735981) (-1.28843586445 -1.4724981308 -1.65656039715))
0.07	((0.212889647484 0.425779294968 0.638668942451) (0.851558589935 1.06444823742 1.2773378849) (1.49022753239 1.70311717987 1.91600682735)) ((-0.212889647484 -0.425779294968 -0.638668942451) (-0.851558589935 -1.06444823742 -1.2773378849) (-1.49022753239 -1.70311717987 -1.91600682735))
0.08	((0.240876865387 0.481753730774 0.722630596161) (0.963507461548 1.20438432693 1.44526119232) (1.68613805771 1.9270149231 2.16789178848)) ((-0.240876865387 -0.481753730774 -0.722630596161) (-0.963507461548 -1.20438432693 -1.44526119232) (-1.68613805771 -1.9270149231 -2.16789178848))
0.09	((0.26791343689 0.535826873779 0.803740310669) (1.07165374756 1.33956718445 1.60748062134) (1.87539405823 2.14330749512 2.41122093201)) ((-0.26791343689 -0.535826873779 -0.803740310669) (-1.07165374756 -1.33956718445 -1.60748062134) (-1.87539405823 -2.14330749512 -2.41122093201))
0.1	((0.293892621994 0.587785243988 0.881677865982) (1.17557048798 1.46946310997 1.76335573196) (2.05724835396 2.35114097595 2.64503359795)) ((-0.293892621994 -0.587785243988 -0.881677865982) (-1.17557048798 -1.46946310997 -1.76335573196) (-2.05724835396 -2.35114097595 -2.64503359795))
0.11	((0.31871201992 0.637424039841 0.956136059761) (1.27484807968 1.5935600996 1.91227211952) (2.23098413944 2.54969615936 2.86840817928)) ((-0.31871201992 -0.637424039841 -0.956136059761) (-1.27484807968 -1.5935600996 -1.91227211952) (-2.23098413944 -2.54969615936 -2.86840817928))
0.12	((0.342273569107 0.684547138214 1.02682070732) (1.36909427643 1.71136784554 2.05364141464) (2.39591498375 2.73818855286 3.08046212196)) ((-0.342273569107 -0.684547138214 -1.02682070732) (-1.36909427643 -1.71136784554 -2.05364141464) (-2.39591498375 -2.73818855286 -3.08046212196))
0.13	((0.36448431015 0.7289686203 1.09345293045) (1.4579372406 1.82242155075 2.1869058609) (2.55139017105 2.9158744812 3.28035879135)) ((-0.36448431015 -0.7289686203 -1.09345293045) (-1.4579372406 -1.82242155075 -2.1869058609) (-2.55139017105 -2.9158744812 -3.28035879135))
0.14	((0.385256624222 0.770513248444 1.15576987267) (1.54102649689 1.92628312111 2.31153974533) (2.69679636955 3.08205299377 3.467309618)) ((-0.385256624222 -0.770513248444 -1.15576987267) (-1.54102649689 -1.92628312111 -2.31153974533) (-2.69679636955 -3.08205299377 -3.467309618))
0.15	((0.404508543015 0.809017086029 1.21352562904) (1.61803417206 2.02254271507 2.42705125809) (2.8315598011 3.23606834412 3.64057688713)) ((-0.404508543015 -0.809017086029 -1.21352562904) (-1.61803417206 -2.02254271507 -2.42705125809) (-2.8315598011 -3.23606834412 -3.64057688713))
0.16	((0.422163963318 0.844327926636 1.26649188995) (1.68865585327 2.11081981659 2.53298377991) (2.95514774323 3.37731170654 3.79947566986)) ((-0.422163963318 -0.844327926636 -1.26649188995) (-1.68865585327 -2.11081981659 -2.53298377991) (-2.95514774323 -3.37731170654 -3.79947566986))
0.17	((0.438153362274 0.876306724548 1.31446008682) (1.7526134491 2.19076681137 2.62892017365) (3.06707353592 3.50522689819 3.94338026047)) ((-0.438153362274 -0.876306724548 -1.31446008682) (-1.7526134491 -2.19076681137 -2.62892017365) (-3.06707353592 -3.50522689819 -3.94338026047))
0.18	((0.45241355896 0.90482711792 1.35724067688) (1.80965423584 2.2620677948 2.71448135376) (3.16689491272 3.61930847168 4.07172203064)) ((-0.45241355896 -0.90482711792 -1.35724067688) (-1.80965423584 -2.2620677948 -2.71448135376) (-3.16689491272 -3.61930847168 -4.07172203064))
0.19	((0.464888238907 0.929776477814 1.39466471672) (1.85955295563 2.32444119453 2.78932943344) (3.25421767235 3.71910591125 4.18399415016)) ((-0.464888238907 -0.929776477814 -1.39466471672) (-1.85955295563 -2.32444119453 -2.78932943344) (-3.25421767235 -3.71910591125 -4.18399415016))
0.2	((0.475528287888 0.951056575775 1.42658486366) (1.90211315155 2.37764143944 2.85316972733) (3.32869801521 3.8042263031 4.27975459099)) ((-0.475528287888 -0.951056575775 -1.42658486366) (-1.90211315155 -2.37764143944 -2.85316972733) (-3.32869801521 -3.8042263031 -4.27975459099))
0.21	((0.484291601181 0.968583202362 1.45287480354) (1.93716640472 2.42145800591 2.90574960709) (3.39004120827 3.87433280945 4.35862441063)) ((-0.484291601181 -0.968583202362 -1.45287480354) (-1.93716640472 -2.42145800591 -2.90574960709) (-3.39004120827 -3.87433280945 -4.35862441063))
0.22	((0.491143655777 0.982287311554 1.47343096733) (1.96457462311 2.45571827888 2.94686193466) (3.43800559044 3.92914924622 4.42029290199)) ((-0.491143655777 -0.982287311554 -1.47343096733) (-1.96457462311 -2.45571827888 -2.94686193466) (-3.43800559044 -3.92914924622 -4.42029290199))
0.23	((0.496057367325 0.99211473465 1.48817210197) (1.9842294693 2.48028683662 2.97634420395) (3.47240157127 3.9684589386 4.46451630592)) ((-0.496057367325 -0.99211473465 -1.48817210197) (-1.9842294693 -2.48028683662 -2.97634420395) (-3.47240157127 -3.9684589386 -4.46451630592))
0.24	((0.499013376236 0.998026752472 1.49704012871) (1.99605350494 2.49506688118 2.99408025742) (3.49309363365 3.99210700989 4.49112038612)) ((-0.499013376236 -0.998026752472 -1.49704012871) (-1.99605350494 -2.49506688118 -2.99408025742) (-3.49309363365 -3.99210700989 -4.49112038612))
0.25	((0.5 1.0 1.5) (2.0 2.5 3.0) (3.5 4.0 4.5)) ((-0.5 -1.0 -1.5) (-2.0 -2.5 -3.0) (-3.5 -4.0 -4.5))
0.26	((0.499013376236 0.998026752472 1.49704012871) (1.99605350494 2.49506688118 2.99408025742) (3.49309363365 3.99210700989 4.49112038612)) ((-0.499013376236 -0.998026752472 -1.49704012871) (-1.99605350494 -2.49506688118 -2.99408025742) (-3.49309363365 -3.99210700989 -4.49112038612))
