# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.701            	-1.9941982994e-02 -6.0004048057e-02 2.5854839672e-01	(-2.2275794021e-02 -6.1473876051e-02 2.5717576188e-01)	(2.3338110277e-03 1.4698279942e-03 1.3726348407e-03)
2.702            	-2.0879231419e-02 -5.9170379486e-02 2.5575797967e-01	(-2.3208505054e-02 -6.0643097765e-02 2.5438564936e-01)	(2.3292736352e-03 1.4727182789e-03 1.3723303085e-03)
2.703            	-2.1160897712e-02 -5.8919377572e-02 2.5572949151e-01	(-2.3485158237e-02 -6.0395014199e-02 2.5435760966e-01)	(2.3242605250e-03 1.4756366265e-03 1.3718818488e-03)
2.704            	-2.1380522659e-02 -5.8865602972e-02 2.5627240384e-01	(-2.3699636778e-02 -6.0344078173e-02 2.5490106083e-01)	(2.3191141195e-03 1.4784752013e-03 1.3713430134e-03)
2.705            	-2.2339465492e-02 -5.8280452619e-02 2.5472591353e-01	(-2.4651156514e-02 -5.9761347053e-02 2.5335558248e-01)	(2.3116910219e-03 1.4808944334e-03 1.3703310538e-03)
2.706            	-2.1615706667e-02 -5.9113752979e-02 2.5880659323e-01	(-2.3922791548e-02 -6.0597491827e-02 2.5743661222e-01)	(2.3070848813e-03 1.4837388477e-03 1.3699810151e-03)
2.707            	-2.1944609846e-02 -5.8724524459e-02 2.5824643589e-01	(-2.4246450481e-02 -6.0211130780e-02 2.5687703338e-01)	(2.3018406348e-03 1.4866063207e-03 1.3694025077e-03)
2.708            	-2.3445768005e-02 -5.7476714819e-02 2.5398394611e-01	(-2.5738470896e-02 -5.8965453464e-02 2.5261611271e-01)	(2.2927028912e-03 1.4887386447e-03 1.3678334001e-03)
2.709            	-2.1720246638e-02 -5.9086532351e-02 2.6151669704e-01	(-2.4009462054e-02 -6.0578507740e-02 2.6014904536e-01)	(2.2892154159e-03 1.4919753891e-03 1.3676516787e-03)
2.71             	-2.2416095591e-02 -5.8689290468e-02 2.6065724520e-01	(-2.4700326364e-02 -6.0184207610e-02 2.5929018338e-01)	(2.2842307730e-03 1.4949171414e-03 1.3670618208e-03)
2.711            	-2.2523921335e-02 -5.8699123128e-02 2.6157999165e-01	(-2.4803319013e-02 -6.0197031237e-02 2.6021353224e-01)	(2.2793976772e-03 1.4979081085e-03 1.3664594025e-03)
2.712            	-2.2726901359e-02 -5.8617750559e-02 2.6198636425e-01	(-2.5001471009e-02 -6.0118529068e-02 2.6062063849e-01)	(2.2745696504e-03 1.5007785094e-03 1.3657257591e-03)
2.713            	-2.3058186237e-02 -5.8363604971e-02 2.6208155796e-01	(-2.5327318822e-02 -5.9867382242e-02 2.6071665940e-01)	(2.2691325848e-03 1.5037772710e-03 1.3648985658e-03)
2.714            	-2.3837531421e-02 -5.7818194458e-02 2.6104050826e-01	(-2.6099448593e-02 -5.9324997601e-02 2.5967672943e-01)	(2.2619171722e-03 1.5068031427e-03 1.3637788258e-03)
2.715            	-2.3128369609e-02 -5.8398541593e-02 2.6399328754e-01	(-2.5385712898e-02 -5.9908462310e-02 2.6263024031e-01)	(2.2573432889e-03 1.5099207167e-03 1.3630472264e-03)
2.716            	-2.3455842040e-02 -5.8223217454e-02 2.6422627759e-01	(-2.5708206549e-02 -5.9736278898e-02 2.6286403932e-01)	(2.2523645086e-03 1.5130614435e-03 1.3622382689e-03)
2.717            	-2.3679022083e-02 -5.8126047715e-02 2.6473799076e-01	(-2.5926186914e-02 -5.9642215427e-02 2.6337662133e-01)	(2.2471648313e-03 1.5161677115e-03 1.3613694235e-03)
2.718            	-2.4955377085e-02 -5.7464586651e-02 2.6207640095e-01	(-2.7194248202e-02 -5.8982512884e-02 2.6071677546e-01)	(2.2388711169e-03 1.5179262329e-03 1.3596254823e-03)
2.719            	-2.3437702309e-02 -5.8220489012e-02 2.6742196959e-01	(-2.5673170476e-02 -5.9742312865e-02 2.6606273260e-01)	(2.2354681672e-03 1.5218238532e-03 1.3592369915e-03)
2.72             	-2.4067741121e-02 -5.7881871923e-02 2.6658030397e-01	(-2.6298514749e-02 -5.9406984565e-02 2.6522190186e-01)	(2.2307736286e-03 1.5251126415e-03 1.3584021087e-03)
2.721            	-2.5237224840e-02 -5.6863250564e-02 2.6357350300e-01	(-2.7460238570e-02 -5.8391441478e-02 2.6221659113e-01)	(2.2230137304e-03 1.5281909140e-03 1.3569118662e-03)
2.722            	-2.4395891912e-02 -5.8289215084e-02 2.6994696045e-01	(-2.6614556676e-02 -5.9820678878e-02 2.6859058978e-01)	(2.2186647641e-03 1.5314637943e-03 1.3563706758e-03)
2.723            	-2.5071127108e-02 -5.7588534132e-02 2.6783327579e-01	(-2.7283747092e-02 -5.9122808503e-02 2.6647802199e-01)	(2.2126199835e-03 1.5342743705e-03 1.3552537926e-03)
2.724            	-2.4509878842e-02 -5.7897643703e-02 2.7045486882e-01	(-2.6718535117e-02 -5.9435343199e-02 2.6910024578e-01)	(2.2086562750e-03 1.5376994968e-03 1.3546230457e-03)
2.725            	-2.4766122939e-02 -5.7759808384e-02 2.7075012663e-01	(-2.6970546296e-02 -5.9300795909e-02 2.6939624466e-01)	(2.2044233574e-03 1.5409875247e-03 1.3538819657e-03)
2.726            	-2.5233442524e-02 -5.7706366463e-02 2.7132987312e-01	(-2.7432775130e-02 -5.9250530417e-02 2.6997680310e-01)	(2.1993326058e-03 1.5441639537e-03 1.3530700223e-03)
2.727            	-2.5221424403e-02 -5.7623700434e-02 2.7172372486e-01	(-2.7416075185e-02 -5.9170795717e-02 2.7037154032e-01)	(2.1946507818e-03 1.5470952824e-03 1.3521845361e-03)
2.728            	-2.6566302890e-02 -5.6364196283e-02 2.6789500908e-01	(-2.8752791094e-02 -5.7914125590e-02 2.6654442049e-01)	(2.1864882041e-03 1.5499293069e-03 1.3505885942e-03)
2.729            	-2.5119859236e-02 -5.7970655949e-02 2.7556708216e-01	(-2.7302986495e-02 -5.9524049263e-02 2.7421681192e-01)	(2.1831272589e-03 1.5533933146e-03 1.3502702303e-03)
2.73             	-2.5601762856e-02 -5.7492125962e-02 2.7442996462e-01	(-2.7780647385e-02 -5.9048733103e-02 2.7308037905e-01)	(2.1788845282e-03 1.5566071410e-03 1.3495855668e-03)
2.731            	-2.5863268248e-02 -5.7410140972e-02 2.7513581282e-01	(-2.8037614200e-02 -5.8969975122e-02 2.7378691314e-01)	(2.1743459520e-03 1.5598341506e-03 1.3488996858e-03)
2.732            	-2.6026526968e-02 -5.7212690997e-02 2.7538866843e-01	(-2.8196273879e-02 -5.8775790631e-02 2.7404051215e-01)	(2.1697469104e-03 1.5630996345e-03 1.3481562848e-03)
2.733            	-2.6210965655e-02 -5.6973238598e-02 2.7548657210e-01	(-2.8375997627e-02 -5.8539638636e-02 2.7413920949e-01)	(2.1650319716e-03 1.5664000374e-03 1.3473626034e-03)
2.734            	-2.7453974032e-02 -5.5858830200e-02 2.7161769114e-01	(-2.9611297838e-02 -5.7427946608e-02 2.7027192999e-01)	(2.1573238066e-03 1.5691164074e-03 1.3457611445e-03)
2.735            	-2.6128580068e-02 -5.7388994910e-02 2.7915023876e-01	(-2.8282620188e-02 -5.8961494309e-02 2.7780481460e-01)	(2.1540401199e-03 1.5724993987e-03 1.3454241600e-03)
2.736            	-2.6398745305e-02 -5.7060618701e-02 2.7891808549e-01	(-2.8549077032e-02 -5.8636570978e-02 2.7757318048e-01)	(2.1503317264e-03 1.5759522769e-03 1.3449050161e-03)
2.737            	-2.6734512371e-02 -5.6819346058e-02 2.7898419495e-01	(-2.8880556078e-02 -5.8398712779e-02 2.7763996779e-01)	(2.1460437071e-03 1.5793667204e-03 1.3442271617e-03)
2.738            	-2.6869300977e-02 -5.6670102144e-02 2.7932857754e-01	(-2.9011107213e-02 -5.8252818254e-02 2.7798511555e-01)	(2.1418062359e-03 1.5827161096e-03 1.3434619920e-03)
2.739            	-2.7857804593e-02 -5.6024893503e-02 2.7740137680e-01	(-2.9992991680e-02 -5.7610361920e-02 2.7605923670e-01)	(2.1351870878e-03 1.5854684168e-03 1.3421400938e-03)
2.74             	-2.7318217402e-02 -5.6321698692e-02 2.8013982873e-01	(-2.9448787161e-02 -5.7910598300e-02 2.7879849929e-01)	(2.1305697588e-03 1.5888996080e-03 1.3413294442e-03)
2.741            	-2.7091139903e-02 -5.6550202818e-02 2.8207770151e-01	(-2.9218271429e-02 -5.8142623074e-02 2.8073698056e-01)	(2.1271315266e-03 1.5924202560e-03 1.3407209456e-03)
2.742            	-2.7511737104e-02 -5.6256521214e-02 2.8195807488e-01	(-2.9634689380e-02 -5.7852421839e-02 2.8061813492e-01)	(2.1229522755e-03 1.5959006249e-03 1.3399399592e-03)
2.743            	-2.7496918823e-02 -5.6361444856e-02 2.8346119837e-01	(-2.9616215469e-02 -5.7960930195e-02 2.8212191987e-01)	(2.1192966460e-03 1.5994853385e-03 1.3392785045e-03)
