# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.428            	(1.3444320825e-02 -1.2208093262e-02 3.6804258844e-02)	(1.0559946152e-02 -1.3311645057e-02 3.6064147519e-02)	(2.8843746721e-03 1.1035517950e-03 7.4011132498e-04)
0.429            	(1.3444090769e-02 -1.2517376112e-02 3.7646250288e-02)	(1.0555951535e-02 -1.3617076039e-02 3.6903519265e-02)	(2.8881392339e-03 1.0996999265e-03 7.4273102256e-04)
0.43             	(1.3399231676e-02 -1.2822263706e-02 3.8532256784e-02)	(1.0507342312e-02 -1.3918165558e-02 3.7786906298e-02)	(2.8918893638e-03 1.0959018521e-03 7.4535048594e-04)
0.431            	(1.3463346838e-02 -1.2988243648e-02 3.9034199873e-02)	(1.0567449305e-02 -1.4080449166e-02 3.8286244237e-02)	(2.8958975327e-03 1.0922055176e-03 7.4795563535e-04)
0.432            	(1.3300594682e-02 -1.3181842471e-02 3.9569821443e-02)	(1.0401103000e-02 -1.4270330645e-02 3.8819327835e-02)	(2.8994916821e-03 1.0884881739e-03 7.5049360847e-04)
0.433            	(1.3469959928e-02 -1.3564648234e-02 4.0772389931e-02)	(1.0566275709e-02 -1.4649652382e-02 4.0019220120e-02)	(2.9036842189e-03 1.0850041476e-03 7.5316981063e-04)
0.434            	(1.2990839908e-02 -1.3750193692e-02 4.0964148382e-02)	(1.0084242630e-02 -1.4831139860e-02 4.0208612829e-02)	(2.9065972779e-03 1.0809461675e-03 7.5553555354e-04)
0.435            	(1.3107784698e-02 -1.4060585657e-02 4.2000989411e-02)	(1.0197765767e-02 -1.5137764134e-02 4.1242962960e-02)	(2.9100189313e-03 1.0771784761e-03 7.5802645074e-04)
0.436            	(1.3059536573e-02 -1.4339178823e-02 4.2764065624e-02)	(1.0146112041e-02 -1.5412605810e-02 4.2003565789e-02)	(2.9134245328e-03 1.0734269868e-03 7.6049983487e-04)
0.437            	(1.2729222520e-02 -1.4236574560e-02 4.2466920056e-02)	(9.8132395988e-03 -1.5306233966e-02 4.1704135120e-02)	(2.9159829216e-03 1.0696594055e-03 7.6278493603e-04)
0.438            	(1.2736065296e-02 -1.4515598540e-02 4.3325113531e-02)	(9.8173453659e-03 -1.5581613885e-02 4.2559997929e-02)	(2.9187199302e-03 1.0660153450e-03 7.6511560190e-04)
