# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.801            	(-1.7719204740e-01 -1.5777211663e-02 -7.5173771071e-03)	(-1.7656462807e-01 -1.5619221698e-02 -6.8691098836e-03)	(-6.2741932799e-04 -1.5798996542e-04 -6.4826722352e-04)
1.802            	(-1.7752302810e-01 -1.5797601796e-02 -7.5433087688e-03)	(-1.7689543978e-01 -1.5639956451e-02 -6.8942393059e-03)	(-6.2758831668e-04 -1.5764534518e-04 -6.4906946289e-04)
1.803            	(-1.7787030132e-01 -1.5805629044e-02 -7.5143625808e-03)	(-1.7724254387e-01 -1.5648363908e-02 -6.8647116089e-03)	(-6.2775744902e-04 -1.5726513605e-04 -6.4965097190e-04)
1.804            	(-1.7778811797e-01 -1.5826948693e-02 -7.4368160507e-03)	(-1.7716027758e-01 -1.5670114732e-02 -6.7868530420e-03)	(-6.2784039451e-04 -1.5683396102e-04 -6.4996300867e-04)
1.805            	(-1.7814284888e-01 -1.5844812655e-02 -7.5275809738e-03)	(-1.7751489434e-01 -1.5688373444e-02 -6.8770678173e-03)	(-6.2795454721e-04 -1.5643921152e-04 -6.5051315646e-04)
1.806            	(-1.7849967047e-01 -1.5863859228e-02 -7.5790566586e-03)	(-1.7787162417e-01 -1.5707804550e-02 -6.9278511613e-03)	(-6.2804629843e-04 -1.5605467820e-04 -6.5120549733e-04)
1.807            	(-1.7891402279e-01 -1.5872384071e-02 -7.5852933776e-03)	(-1.7828586582e-01 -1.5716736851e-02 -6.9335373723e-03)	(-6.2815697072e-04 -1.5564722010e-04 -6.5175600524e-04)
1.808            	(-1.7941365399e-01 -1.5894755849e-02 -7.6464472249e-03)	(-1.7878541187e-01 -1.5739498071e-02 -6.9939890434e-03)	(-6.2824212730e-04 -1.5525777844e-04 -6.5245818148e-04)
1.809            	(-1.7567728805e-01 -1.5836617208e-02 -7.1558068783e-03)	(-1.7504930644e-01 -1.5682018500e-02 -6.5040856671e-03)	(-6.2798161311e-04 -1.5459870811e-04 -6.5172121124e-04)
1.81             	(-1.7683870560e-01 -1.5780864552e-02 -7.3673424506e-03)	(-1.7621086032e-01 -1.5626813617e-02 -6.7156233059e-03)	(-6.2784527748e-04 -1.5405093570e-04 -6.5171914474e-04)
1.811            	(-1.8039339391e-01 -1.5999562016e-02 -7.7368666157e-03)	(-1.7976543633e-01 -1.5845849784e-02 -7.0843090750e-03)	(-6.2795757218e-04 -1.5371223186e-04 -6.5255754070e-04)
1.812            	(-1.8066309402e-01 -1.5971006120e-02 -7.7349820528e-03)	(-1.8003505301e-01 -1.5817661883e-02 -7.0816559894e-03)	(-6.2804101025e-04 -1.5334423783e-04 -6.5332606341e-04)
1.813            	(-1.7958570891e-01 -1.5831643902e-02 -7.5045302081e-03)	(-1.7895769885e-01 -1.5678839936e-02 -6.8512407751e-03)	(-6.2801005065e-04 -1.5280396544e-04 -6.5328943303e-04)
1.814            	(-1.8096458440e-01 -1.6080534757e-02 -7.7445234264e-03)	(-1.8033657645e-01 -1.5928072057e-02 -7.0904334651e-03)	(-6.2800795264e-04 -1.5246269944e-04 -6.5408996131e-04)
1.815            	(-1.8177594520e-01 -1.6038168056e-02 -7.8532322877e-03)	(-1.8114784819e-01 -1.5886028021e-02 -7.1981133653e-03)	(-6.2809701066e-04 -1.5214003476e-04 -6.5511892244e-04)
1.816            	(-1.8230111487e-01 -1.6033991877e-02 -7.8269570346e-03)	(-1.8167294364e-01 -1.5882202489e-02 -7.1709370788e-03)	(-6.2817123115e-04 -1.5178938750e-04 -6.5601995580e-04)
1.817            	(-1.8240627905e-01 -1.6043620619e-02 -7.8053475815e-03)	(-1.8177810161e-01 -1.5892214599e-02 -7.1486110096e-03)	(-6.2817744187e-04 -1.5140601997e-04 -6.5673657191e-04)
1.818            	(-1.8175068373e-01 -1.6071460472e-02 -7.6962247801e-03)	(-1.8112269732e-01 -1.5920503401e-02 -7.0391223874e-03)	(-6.2798641375e-04 -1.5095707058e-04 -6.5710239273e-04)
1.819            	(-1.8301687736e-01 -1.6056108178e-02 -7.8344133459e-03)	(-1.8238898363e-01 -1.5905559574e-02 -7.1766467095e-03)	(-6.2789373618e-04 -1.5054860395e-04 -6.5776663644e-04)
1.82             	(-1.8344834053e-01 -1.6075028216e-02 -7.8672237095e-03)	(-1.8282056161e-01 -1.5924883541e-02 -7.2087154040e-03)	(-6.2777891269e-04 -1.5014467535e-04 -6.5850830546e-04)
1.821            	(-1.8371210446e-01 -1.6077689507e-02 -7.8819123670e-03)	(-1.8308445731e-01 -1.5927960548e-02 -7.2226986382e-03)	(-6.2764715199e-04 -1.4972895939e-04 -6.5921372879e-04)
1.822            	(-1.8427490233e-01 -1.6086237325e-02 -7.8937011602e-03)	(-1.8364737753e-01 -1.5936932513e-02 -7.2337908343e-03)	(-6.2752480526e-04 -1.4930481157e-04 -6.5991032587e-04)
1.823            	(-1.8415586738e-01 -1.6104970438e-02 -7.9101439633e-03)	(-1.8352850649e-01 -1.5956090912e-02 -7.2495139146e-03)	(-6.2736089386e-04 -1.4887952664e-04 -6.6063004871e-04)
1.824            	(-1.8459415967e-01 -1.6114927335e-02 -7.9320894456e-03)	(-1.8396697300e-01 -1.5966480160e-02 -7.2707244328e-03)	(-6.2718666331e-04 -1.4844717499e-04 -6.6136501279e-04)
1.825            	(-1.8502923704e-01 -1.6113969179e-02 -7.9402304427e-03)	(-1.8440220800e-01 -1.5965977363e-02 -7.2782218979e-03)	(-6.2702903924e-04 -1.4799181573e-04 -6.6200854476e-04)
1.826            	(-1.8534052782e-01 -1.6124998145e-02 -7.9572820325e-03)	(-1.8471365656e-01 -1.5977466382e-02 -7.2946077245e-03)	(-6.2687126339e-04 -1.4753176310e-04 -6.6267430801e-04)
1.827            	(-1.7994451238e-01 -1.6047253526e-02 -7.6363292568e-03)	(-1.7931838747e-01 -1.5900293862e-02 -6.9733418278e-03)	(-6.2612491906e-04 -1.4695966413e-04 -6.6298742901e-04)
1.828            	(-1.8557243701e-01 -1.6136139325e-02 -7.7419757471e-03)	(-1.8494624614e-01 -1.5989756432e-02 -7.0792220572e-03)	(-6.2619086516e-04 -1.4638289358e-04 -6.6275368991e-04)
1.829            	(-1.8634568427e-01 -1.6196085254e-02 -8.0192400929e-03)	(-1.8571950438e-01 -1.6050135590e-02 -7.3557461567e-03)	(-6.2617988498e-04 -1.4594966441e-04 -6.6349393620e-04)
