# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
4.901            	(2.2329446247e-01 4.8400409722e-03 2.5331944818e-02)	(2.2294575208e-01 4.7014878028e-03 2.5775050097e-02)	(3.4871038784e-04 1.3855316944e-04 -4.4310527978e-04)
4.902            	(2.2315948781e-01 4.8833914029e-03 2.5333837177e-02)	(2.2281118123e-01 4.7451804230e-03 2.5778217425e-02)	(3.4830658219e-04 1.3821097986e-04 -4.4438024875e-04)
4.903            	(2.2327435396e-01 4.9205597345e-03 2.5314396180e-02)	(2.2292645878e-01 4.7826888414e-03 2.5760084796e-02)	(3.4789517570e-04 1.3787089311e-04 -4.4568861554e-04)
4.904            	(2.2328804922e-01 4.9653270549e-03 2.5336320131e-02)	(2.2294060085e-01 4.8278298985e-03 2.5783121508e-02)	(3.4744836597e-04 1.3749715643e-04 -4.4680137635e-04)
4.905            	(2.2281207318e-01 5.0383538844e-03 2.5444394392e-02)	(2.2246512418e-01 4.9012794709e-03 2.5891885367e-02)	(3.4694899768e-04 1.3707441354e-04 -4.4749097489e-04)
4.906            	(2.2373979454e-01 5.0195289895e-03 2.5242841996e-02)	(2.2339324420e-01 4.8828164177e-03 2.5691629817e-02)	(3.4655033671e-04 1.3671257183e-04 -4.4878782076e-04)
4.907            	(2.2361546732e-01 5.0673104767e-03 2.5262240994e-02)	(2.2326932697e-01 4.9309763176e-03 2.5712192571e-02)	(3.4614035244e-04 1.3633415916e-04 -4.4995157734e-04)
4.908            	(2.2383556957e-01 5.1164100889e-03 2.5263923472e-02)	(2.2348985118e-01 4.9804735007e-03 2.5714935854e-02)	(3.4571838277e-04 1.3593658813e-04 -4.5101238233e-04)
4.909            	(2.2404161403e-01 5.1525653437e-03 2.5269640148e-02)	(2.2369628086e-01 5.0170299779e-03 2.5721627941e-02)	(3.4533317207e-04 1.3553536573e-04 -4.5198779262e-04)
4.91             	(2.2284806101e-01 5.2406057871e-03 2.5332390632e-02)	(2.2250329483e-01 5.1055323423e-03 2.5785037331e-02)	(3.4476617813e-04 1.3507344486e-04 -4.5264669967e-04)
4.911            	(2.1836729874e-01 5.2846465138e-03 2.5320543092e-02)	(2.1802355075e-01 5.1501411473e-03 2.5773543820e-02)	(3.4374799372e-04 1.3450536651e-04 -4.5300072843e-04)
4.912            	(2.2627282740e-01 5.2509293085e-03 2.5328527102e-02)	(2.2592915018e-01 5.1168601131e-03 2.5782158922e-02)	(3.4367722592e-04 1.3406919537e-04 -4.5363182038e-04)
4.913            	(2.2545591013e-01 5.2851552943e-03 2.5246091241e-02)	(2.2511243751e-01 5.1515043228e-03 2.5700534781e-02)	(3.4347261593e-04 1.3365097145e-04 -4.5444354032e-04)
4.914            	(2.2534066333e-01 5.3263912756e-03 2.5222911688e-02)	(2.2499751233e-01 5.1931826720e-03 2.5678129112e-02)	(3.4315100602e-04 1.3320860361e-04 -4.5521742402e-04)
4.915            	(2.2399107560e-01 5.4451926817e-03 2.5314731377e-02)	(2.2364839401e-01 5.3124450830e-03 2.5770530555e-02)	(3.4268159268e-04 1.3274759868e-04 -4.5579917792e-04)
4.916            	(2.2597885650e-01 5.3592830739e-03 2.5118610440e-02)	(2.2563648492e-01 5.2269781818e-03 2.5575283963e-02)	(3.4237158121e-04 1.3230489211e-04 -4.5667352347e-04)
4.917            	(2.2560970233e-01 5.4300192340e-03 2.5123788835e-02)	(2.2526767914e-01 5.2981452972e-03 2.5581371662e-02)	(3.4202319240e-04 1.3187393679e-04 -4.5758282617e-04)
4.918            	(2.2551368538e-01 5.4684121729e-03 2.5160607776e-02)	(2.2517210809e-01 5.3370221225e-03 2.5618834983e-02)	(3.4157729049e-04 1.3139005036e-04 -4.5822720676e-04)
4.919            	(2.2561992397e-01 5.5215467135e-03 2.5142394813e-02)	(2.2527876693e-01 5.3906185213e-03 2.5601344352e-02)	(3.4115704257e-04 1.3092819222e-04 -4.5894953894e-04)
4.92             	(2.2549372676e-01 5.5637983538e-03 2.5122046192e-02)	(2.2515307960e-01 5.4333574470e-03 2.5581675277e-02)	(3.4064715989e-04 1.3044090679e-04 -4.5962908544e-04)
4.921            	(2.2566451211e-01 5.6115735907e-03 2.5132818044e-02)	(2.2532433393e-01 5.4816140504e-03 2.5593075673e-02)	(3.4017818184e-04 1.2995954028e-04 -4.6025762979e-04)
4.922            	(2.2544247467e-01 5.6608136546e-03 2.5151574040e-02)	(2.2510284585e-01 5.5313760211e-03 2.5612299044e-02)	(3.3962881690e-04 1.2943763356e-04 -4.6072500381e-04)
4.923            	(2.2564321470e-01 5.6936666319e-03 2.5111820126e-02)	(2.2530407427e-01 5.5647324349e-03 2.5573111164e-02)	(3.3914042476e-04 1.2893419695e-04 -4.6129103833e-04)
4.924            	(2.2573652157e-01 5.7379272897e-03 2.5102701296e-02)	(2.2539791763e-01 5.6095225200e-03 2.5564491736e-02)	(3.3860394373e-04 1.2840476977e-04 -4.6179044052e-04)
4.925            	(2.2584785103e-01 5.7908574849e-03 2.5111325246e-02)	(2.2550973739e-01 5.6629727927e-03 2.5573597530e-02)	(3.3811364766e-04 1.2788469223e-04 -4.6227228359e-04)
4.926            	(2.2570489395e-01 5.8250509531e-03 2.5115991027e-02)	(2.2536735102e-01 5.6977228798e-03 2.5578583282e-02)	(3.3754292928e-04 1.2732807338e-04 -4.6259225478e-04)
4.927            	(2.2572618186e-01 5.8680241018e-03 2.5086737210e-02)	(2.2538919254e-01 5.7412337075e-03 2.5549742202e-02)	(3.3698931835e-04 1.2679039423e-04 -4.6300499259e-04)
4.928            	(2.2576661019e-01 5.9091244031e-03 2.5062788364e-02)	(2.2543023718e-01 5.7828927572e-03 2.5526176819e-02)	(3.3637301439e-04 1.2623164588e-04 -4.6338845522e-04)
4.929            	(2.2239791184e-01 6.0474209924e-03 2.5175658215e-02)	(2.2206249948e-01 5.9218143132e-03 2.5638981446e-02)	(3.3541236116e-04 1.2560667922e-04 -4.6332323103e-04)
4.93             	(2.2346185006e-01 6.0064988891e-03 2.5156996843e-02)	(2.2312723967e-01 5.8815496197e-03 2.5620160647e-02)	(3.3461038561e-04 1.2494926942e-04 -4.6316380426e-04)
4.931            	(2.2808710240e-01 5.9948031010e-03 2.5022246911e-02)	(2.2775272482e-01 5.8703631245e-03 2.5486028086e-02)	(3.3437757777e-04 1.2443997655e-04 -4.6378117445e-04)
4.932            	(2.2694841705e-01 6.0353891177e-03 2.4989284766e-02)	(2.2661453557e-01 5.9114934411e-03 2.5453654122e-02)	(3.3388148653e-04 1.2389567653e-04 -4.6436935614e-04)
