# Forces
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.0	((-0.213098133174 0.786901866826 1.78690186683) (2.78690186683 3.78690186683 4.78690186683) (5.78690186683 6.78690186683 7.78690186683)) ((-0.213098133174 0.786901866826 1.78690186683) (2.78690186683 3.78690186683 4.78690186683) (5.78690186683 6.78690186683 7.78690186683))
0.01	((0.19764539939 1.19764539939 2.19764539939) (3.19764539939 4.19764539939 5.19764539939) (6.19764539939 7.19764539939 8.19764539939)) ((0.19764539939 1.19764539939 2.19764539939) (3.19764539939 4.19764539939 5.19764539939) (6.19764539939 7.19764539939 8.19764539939))
0.02	((0.45449267313 1.45449267313 2.45449267313) (3.45449267313 4.45449267313 5.45449267313) (6.45449267313 7.45449267313 8.45449267313)) ((0.45449267313 1.45449267313 2.45449267313) (3.45449267313 4.45449267313 5.45449267313) (6.45449267313 7.45449267313 8.45449267313))
0.03	((0.227840397358 1.22784039736 2.22784039736) (3.22784039736 4.22784039736 5.22784039736) (6.22784039736 7.22784039736 8.22784039736)) ((0.227840397358 1.22784039736 2.22784039736) (3.22784039736 4.22784039736 5.22784039736) (6.22784039736 7.22784039736 8.22784039736))
0.04	((1.49977955852 2.49977955852 3.49977955852) (4.49977955852 5.49977955852 6.49977955852) (7.49977955852 8.49977955852 9.49977955852)) ((1.49977955852 2.49977955852 3.49977955852) (4.49977955852 5.49977955852 6.49977955852) (7.49977955852 8.49977955852 9.49977955852))
0.05	((1.56719364454 2.56719364454 3.56719364454) (4.56719364454 5.56719364454 6.56719364454) (7.56719364454 8.56719364454 9.56719364454)) ((1.56719364454 2.56719364454 3.56719364454) (4.56719364454 5.56719364454 6.56719364454) (7.56719364454 8.56719364454 9.56719364454))
0.06	((2.38464872081 3.38464872081 4.38464872081) (5.38464872081 6.38464872081 7.38464872081) (8.38464872081 9.38464872081 10.3846487208)) ((2.38464872081 3.38464872081 4.38464872081) (5.38464872081 6.38464872081 7.38464872081) (8.38464872081 9.38464872081 10.3846487208))
0.07	((1.986597331 2.986597331 3.986597331) (4.986597331 5.986597331 6.986597331) (7.986597331 8.986597331 9.986597331)) ((1.986597331 2.986597331 3.986597331) (4.986597331 5.986597331 6.986597331) (7.986597331 8.986597331 9.986597331))
0.08	((1.59703107017 2.59703107017 3.59703107017) (4.59703107017 5.59703107017 6.59703107017) (7.59703107017 8.59703107017 9.59703107017)) ((1.59703107017 2.59703107017 3.59703107017) (4.59703107017 5.59703107017 6.59703107017) (7.59703107017 8.59703107017 9.59703107017))
0.09	((2.66648830029 3.66648830029 4.66648830029) (5.66648830029 6.66648830029 7.66648830029) (8.66648830029 9.66648830029 10.6664883003)) ((2.66648830029 3.66648830029 4.66648830029) (5.66648830029 6.66648830029 7.66648830029) (8.66648830029 9.66648830029 10.6664883003))
0.1	((2.74411362834 3.74411362834 4.74411362834) (5.74411362834 6.74411362834 7.74411362834) (8.74411362834 9.74411362834 10.7441136283)) ((2.74411362834 3.74411362834 4.74411362834) (5.74411362834 6.74411362834 7.74411362834) (8.74411362834 9.74411362834 10.7441136283))
0.11	((3.23675971719 4.23675971719 5.23675971719) (6.23675971719 7.23675971719 8.23675971719) (9.23675971719 10.2367597172 11.2367597172)) ((3.23675971719 4.23675971719 5.23675971719) (6.23675971719 7.23675971719 8.23675971719) (9.23675971719 10.2367597172 11.2367597172))
0.12	((2.93279240962 3.93279240962 4.93279240962) (5.93279240962 6.93279240962 7.93279240962) (8.93279240962 9.93279240962 10.9327924096)) ((2.93279240962 3.93279240962 4.93279240962) (5.93279240962 6.93279240962 7.93279240962) (8.93279240962 9.93279240962 10.9327924096))
0.13	((3.28073472116 4.28073472116 5.28073472116) (6.28073472116 7.28073472116 8.28073472116) (9.28073472116 10.2807347212 11.2807347212)) ((3.28073472116 4.28073472116 5.28073472116) (6.28073472116 7.28073472116 8.28073472116) (9.28073472116 10.2807347212 11.2807347212))
0.14	((3.9320679543 4.9320679543 5.9320679543) (6.9320679543 7.9320679543 8.9320679543) (9.9320679543 10.9320679543 11.9320679543)) ((3.9320679543 4.9320679543 5.9320679543) (6.9320679543 7.9320679543 8.9320679543) (9.9320679543 10.9320679543 11.9320679543))
